postcode_heuristic, commute_time
657.3602866598233, 0.56
0.0, 0.0
1325.5755360886699, 0.07
227.16750272011924, 0.01
10.955913786239925, 0.0
262.02664269780223, 0.28
1279.4049416696378, 1.7
1169.1147115638646, 0.7
419.41382623908225, 0.56
200.91705809542168, 0.0
417.51626752513783, 0.0
1210.2236842714915, 0.42
452.1343213826767, 0.12
76.5159588237108, 0.1
243.25843151283775, 0.22
127.46071698579973, 0.0
3879.953107866012, 0.51
593.9809125305072, 0.53
454.9441453588418, 0.04
1161.4285710731272, 0.2
0.0, 0.0
534.6173043096252, 0.09
596.8804256863463, 0.33
1332.7468924910845, 0.46
67.07329496638451, 0.0
4342.493448741695, 0.36
349.1165661825313, 0.4
244.51368301503197, 0.36
384.52980244280286, 0.13
1309.287726162137, 0.33
253.9089568218139, 0.0
908.1587890199515, 0.14
602.4404671615229, 0.08
778.7252992599349, 0.13
964.9129355968505, 0.54
0.0, 0.0
0.0, 0.0
733.6118608899544, 0.27
1283.7571247386215, 0.0
1456.8006584498448, 0.82
1131.8015046299827, 0.52
829.0133615493143, 0.18
1236.2456948050092, 0.23
